trial,rat_p,rat_d,rat_i,ang_p,mot_spin,score,near5_pct,near10_pct,streak_secs,time_to_crash,max_q,max_p,motor_ok,early_min_motor,reason
29,0.06165906461823451,0.0018770474942155905,0.0025942505725801983,1.9450034470310538,,3.7221870229007634,0.02748091603053435,0.048091603053435114,0.56,0.8144999999999998,16.6675,6.008,False,0.15,ok
30,0.01292037364554156,0.0011314101412294034,0.0012484597675029836,3.0605326893063984,,2.966585736079329,0.020594965675057208,0.03279938977879481,0.54,0.7947000000000002,8.0508,6.0638,False,0.15,ok
31,0.06001673508097945,0.005405178141321476,0.001047780942692186,3.8057642104061986,,2.869736312706901,0.0213903743315508,0.025974025974025976,0.54,0.7705000000000002,15.4117,5.9691,False,0.15,ok
32,0.08578113531936,0.0033185439295031773,0.0019173376691733765,3.1654360004038766,,3.3781424936386766,0.025190839694656488,0.03816793893129771,0.56,0.79,20.8011,7.8149,False,0.15,ok
33,0.07132237136989704,0.0021599227763886143,0.0013541808878015432,3.4667159919712947,,4.084828375286042,0.031273836765827616,0.05491990846681922,0.56,0.81,18.5714,6.5213,False,0.15,ok
34,0.046559973561687576,0.002039907144804207,0.0012880763669488112,3.484837868042234,,3.732554198473282,0.02748091603053435,0.04885496183206107,0.56,0.7997999999999998,13.4207,6.161,False,0.15,ok
35,0.037265214310123064,0.0015239992340380594,0.001054269060487565,2.8752142550189945,,3.4729715447154477,0.025152439024390245,0.042682926829268296,0.56,0.8105000000000002,12.2338,5.8911,False,0.15,ok
36,0.06098984130799891,0.0012677138630347513,0.0017860293502690219,3.5554429633636926,,3.9713414634146345,0.02972560975609756,0.055640243902439025,0.54,0.7949999999999999,19.215,5.8113,False,0.15,ok
37,0.08075173863169918,0.0010078978207559292,0.004524519909061101,2.6790097763529888,,3.0748333333333333,0.022137404580152672,0.03358778625954199,0.54,0.7945000000000002,19.2571,5.7991,False,0.15,ok
38,0.056375969620341165,0.0017653139577839892,0.0014141350978680045,2.940061930865218,,3.7715040650406504,0.028201219512195123,0.05030487804878049,0.54,0.79,16.6011,5.7288,False,0.15,ok
39,0.0050039276332755605,0.02124226468489223,0.00697297765419015,3.344069822506647,,2.7460226463104327,0.020610687022900764,0.022137404580152672,0.54,0.7699000000000003,8.9137,2.8447,False,0.15,ok
40,0.011979447046022454,0.0022966605094291103,0.0023556610173248722,3.698139503862909,,2.859897025171625,0.02135774218154081,0.02517162471395881,0.54,0.7949999999999999,11.3849,5.4285,False,0.15,ok
41,0.07013033619641901,0.003364938519757742,0.0011454600821384612,3.8722354138773087,,3.681352845528455,0.027439024390243903,0.04649390243902439,0.56,0.7953999999999999,19.2189,5.7246,False,0.15,ok
42,0.09837270170405892,0.004125043325680741,0.001377311674368478,3.1405717034658927,,3.1836797555385794,0.023682200152788387,0.03437738731856379,0.54,0.7955999999999999,20.7744,7.1078,False,0.15,ok
43,0.04781326919850898,0.0026953389899093574,0.0014834240281344278,4.2985885385374605,,3.7492400457665904,0.02745995423340961,0.04958047292143402,0.56,0.8101000000000003,12.9948,5.4622,False,0.15,ok
44,0.0777349034426126,0.0016199056871816697,0.0017901335193022648,3.986673687134708,,3.5679736842105267,0.02669717772692601,0.04271548436308162,0.56,0.8154999999999997,18.5089,7.4119,False,0.15,ok
45,0.06471312688685121,0.0020578762998267664,0.0011400796110145005,3.6596295516339667,,4.186483752860411,0.03051106025934401,0.06254767353165523,0.56,0.7946,19.0162,5.4518,False,0.15,ok
46,0.030363956201183914,0.002060046421592294,0.0011279989128171576,3.680699662962545,,3.0596994910941477,0.022900763358778626,0.030534351145038167,0.54,0.7949000000000002,10.991,5.8323,False,0.15,ok
47,0.0519954284012936,0.001239235950441008,0.001035424751950514,3.2861148586356905,,3.840639893211289,0.02822273073989321,0.05186880244088482,0.56,0.8097000000000003,13.8115,6.0564,False,0.15,ok
48,0.06331045142050482,0.0017875417684388637,0.0035409813693250127,3.4598740768551033,,4.027162849872774,0.031297709923664124,0.050381679389312976,0.58,0.815,18.6719,7.6199,False,0.15,ok
49,0.007220915852112035,0.0017157560106339507,0.004546778257693031,3.4272894487434593,,2.9426413424866515,0.02135774218154081,0.028985507246376812,0.54,0.8144,10.526,6.7296,False,0.15,ok
