trial,rat_p,rat_d,rat_i,ang_p,mot_spin,score,near5_pct,near10_pct,streak_secs,time_to_crash,max_q,max_p,motor_ok,early_min_motor,reason
11,0.04866571542506329,0.003909581202152826,0.002113185259448306,4.375750579260559,,4.640737195121951,0.03429878048780488,0.051829268292682924,0.84,1.1448999999999994,13.5397,5.1803,False,0.15,ok
12,0.0975691176039823,0.002553569839098923,0.0023842044276774234,4.055886002280125,,3.3661127002288325,0.02288329519450801,0.05034324942791762,0.44,1.3050000000000002,19.6888,6.0951,False,0.15,ok
13,0.023238184796302446,0.0010454842814996387,0.00640361897832115,4.602059781833332,,4.484462195121952,0.03429878048780488,0.051829268292682924,0.74,1.1198000000000001,11.6422,4.8956,False,0.15,ok
14,0.0535420932670638,0.007007021479466498,0.0027994052523438347,4.230934560993274,,3.3782200152788393,0.02750190985485103,0.03590527119938885,0.48,1.1600000000000001,15.692,6.3152,False,0.15,ok
15,0.03436995133764364,0.0021546783901163964,0.014839058155279429,3.4308616131275387,,4.872489024390244,0.036585365853658534,0.054115853658536585,0.86,1.2202000000000002,12.7522,5.7046,False,0.15,ok
16,0.0169670593390438,0.003786306458309703,0.0015546179496302263,2.450784956679239,,4.014158969465648,0.030534351145038167,0.03435114503816794,0.8,1.1803,11.0147,4.9697,False,0.15,ok
17,0.0691347400383028,0.007495579075268449,0.0032980928866703473,4.009853438203276,,3.3517293893129767,0.022900763358778626,0.050381679389312976,0.44,1.2401999999999997,17.6716,6.5459,False,0.15,ok
18,0.04036636647605267,0.01600036157207568,0.0052760675295097795,4.931694324889899,,2.6428876241405654,0.01833460656990069,0.03208556149732621,0.4,1.2044000000000001,12.0849,6.275,False,0.15,ok
19,0.02032164506552255,0.001477854498546698,0.0015596680615660248,3.2338283785876403,,4.038695652173913,0.028985507246376812,0.043478260869565216,0.76,1.1600000000000001,10.6115,5.8687,False,0.15,ok
20,0.0714798675613473,0.005174092319305199,0.005206493241715332,4.457635595927434,,3.7240494274809155,0.024427480916030534,0.0633587786259542,0.44,1.3248999999999995,16.2184,5.0395,False,0.15,ok
21,0.03531200174703162,0.0025015881365205105,0.014560071932796423,3.5352784528073715,,5.0898413996948895,0.038901601830663615,0.057971014492753624,0.86,1.2252999999999998,12.1185,4.7722,False,0.15,ok
22,0.03960350680542355,0.003053377589850579,0.012927896525109004,3.8160947596997605,,4.9793553394355445,0.038901601830663615,0.05644546147978642,0.82,1.1454000000000004,12.7397,5.0755,False,0.15,ok
23,0.023936811947113584,0.0025154112155193146,0.010379941395296206,3.2927880100665687,,3.8272348207475213,0.028985507246376812,0.03508771929824561,0.74,1.1054000000000004,11.6829,5.9693,False,0.15,ok
24,0.0372002162061545,0.00400871084397998,0.014970630603880816,3.6748464084473755,,4.040419847328244,0.030534351145038167,0.03816793893129771,0.78,1.0999999999999996,13.6989,5.5372,False,0.15,ok
25,0.02695840678459163,0.0015460011232549162,0.012442718418303522,2.7062924173925116,,4.7927079268292685,0.035823170731707314,0.057164634146341466,0.8,1.2001,11.2516,4.4681,False,0.0,ok
26,0.04238322951862423,0.0021381672288532418,0.008254270477153304,4.185829847476591,,4.621723472116119,0.03437738731856379,0.05576776165011459,0.78,1.0948999999999995,13.3528,5.0383,False,0.15,ok
27,0.014573367811632583,0.002943587421385765,0.011847402042607839,3.1053394830587697,,4.461829268292682,0.03429878048780488,0.04344512195121951,0.82,1.2200000000000002,12.4038,6.8965,False,0.15,ok
28,0.04284363250083083,0.0010106992603668755,0.008605030509755328,3.4720755145084943,,4.488192938931298,0.03358778625954199,0.05114503816793893,0.78,1.1201000000000003,13.1393,5.535,False,0.15,ok
29,0.07489661450278136,0.005087137093694454,0.005356025974000018,3.7321027858275784,,4.080725495804729,0.032036613272311214,0.05568268497330282,0.5,1.1795000000000004,17.5544,5.6545,False,0.0,ok
30,0.011614261866644401,0.009046933268646962,0.012489010642668297,3.8615302886137304,,3.5657104660045835,0.02750190985485103,0.029029793735676088,0.72,1.02,14.6755,6.8958,False,0.15,ok
31,0.0561963056739588,0.0033096696682722573,0.006895186236572132,3.920398974421616,,5.519777002288329,0.041952707856598014,0.06407322654462243,0.94,1.2446000000000002,15.6697,5.7374,False,0.15,ok
32,0.056252856738607394,0.002259841412069668,0.0066446110718059274,3.359971293498513,,5.280580863254393,0.04125286478227655,0.06646294881588999,0.8,1.1046,15.4833,6.763,False,0.15,ok
33,0.05782047866665041,0.0021599227763886143,0.0068449615009459775,3.3519941550908308,,5.168609558263518,0.039603960396039604,0.05712109672505712,0.9,1.1998000000000002,17.1621,5.8113,False,0.15,ok
34,0.05417525102798168,0.0014155703262386963,0.006472082459244091,2.771699419692394,,5.017835365853658,0.038109756097560975,0.0625,0.8,1.1249999999999996,18.2893,6.3454,False,0.15,ok
35,0.08078227380541775,0.0019183658245703467,0.006802589665776696,3.2951345706385884,,4.329533447749809,0.033562166285278416,0.06254767353165523,0.5,1.2593999999999999,18.5089,6.2474,False,0.15,ok
36,0.061661713630405096,0.0012643205220499905,0.004571292137526703,3.078049032563651,,4.875680568268497,0.036613272311212815,0.05644546147978642,0.84,1.1599,18.5304,8.1354,False,0.15,ok
37,0.08406932679485964,0.00393410288391454,0.0034612846848133426,1.8305216442881993,,4.7603378048780485,0.036585365853658534,0.04801829268292683,0.88,1.1394000000000002,19.4688,5.9648,False,0.15,ok
38,0.04911978697458352,0.0017653139577839892,0.0074980056181033145,2.8580295657032586,,4.323367737003058,0.03211009174311927,0.047400611620795105,0.78,1.1149999999999998,17.4271,5.8429,False,0.15,ok
39,0.06444394819199877,0.02124226468489223,0.005734945615096769,2.294446708175429,,2.4475696033562166,0.016781083142639208,0.02822273073989321,0.38,1.225,13.6973,7.4128,False,0.15,ok
